Pt Diff,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
Behind,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Damarri Mathis,3.0,3.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Delarrin Turner-Yell,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,D.J. Jones,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,D.J. Jones,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,D.J. Jones,5.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Elijah Garcia,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Essang Bassey,2.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Essang Bassey,3.0,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Ahead,,0,0.0,0.0,0,,,,,,,,Frank Clark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Tied,,0,0.0,0.0,0,,,,,,,,Frank Clark,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
Behind,2.0,22,11.0,0.0,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Greg Dulcich,,,,,,,,,,,,,,,,,,,,,
Behind,1.0,0,0.0,0.0,0,0.0,-7.0,-7.0,0.0,-7.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
Tied,0.0,5,5.0,1.0,5,1.0,0.0,0.0,0.0,0.0,0.0,0.0,Jaleel McLaughlin,,,,,,,,,,,,,,,,,,,,,
Ahead,3.0,37,3.1,0.0,6,12.0,7.0,2.3,0.0,7.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Behind,3.0,33,3.3,0.0,11,10.0,12.0,4.0,0.0,9.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Tied,0.0,26,8.7,0.0,15,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Javonte Williams,,,,,,,,,,,,,,,,,,,,,
Ahead,2.0,14,7.0,0.0,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Behind,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Tied,1.0,11,11.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Jerry Jeudy,,,,,,,,,,,,,,,,,,,,,
Ahead,,1,1.0,0.0,1,,,,,,,,Jonas Griffith,18.0,11.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,,,,,,,,,,
Behind,,0,0.0,0.0,0,,,,,,,,Jonas Griffith,13.0,6.0,7.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
