Group,REC,YDS,AVG,TD,LNG,CAR,YDS.1,AVG.1,TD.1,LNG.1,FUM,LST,Player Name,TOT,SOLO,AST,SACK,STF,STFYDS,FF,FR,KB,INT,PD,PUNTS,TB,TB%,IN20,IN20%,ATT,NET,CMP,CMP%,RTG
vs Div,,0,0.0,0.0,0,,,,,,,,Mike Purcell,1.0,0.0,1.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,1.0,11,11.0,0.0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Nate Adkins,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,7.0,6.0,1.0,0.0,3.5,9.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,2.0,2.0,0.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Nik Bonitto,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,7.0,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,3.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Pat Surtain II,2.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,,,,,,,,,,
vs AFC,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,
vs Div,0.0,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Phillip Dorsett,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,11.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,11.0,6.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,11.0,5.0,6.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,P.J. Locke,11.0,6.0,5.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,P.J. Locke,4.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Randy Gregory,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Randy Gregory,5.0,3.0,2.0,1.0,1.0,3.0,0.0,0.0,0.0,0.0,1.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Randy Gregory,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,,314,44.9,,61,,30.0,10.0,,,,,Riley Dixon,,,,,,,,,,,,7.0,0.0,0.0,4.0,57.14,3.0,40.6,,,
vs NFC,,134,44.7,,46,,9.0,4.5,,,,,Riley Dixon,,,,,,,,,,,,3.0,0.0,0.0,0.0,0.0,2.0,41.7,,,
vs Div,,80,40.0,,43,,0.0,0.0,,,,,Riley Dixon,,,,,,,,,,,,2.0,0.0,0.0,1.0,50.0,0.0,40.0,,,
vs AFC,,483,6.7,3.0,46,1.0,1.0,1.0,0.0,1.0,,,Russell Wilson,,,,3.0,,,,,,1.0,,,,,,,72.0,,50.0,69.4,96.0
vs NFC,,308,9.6,3.0,60,6.0,56.0,9.3,0.0,15.0,,,Russell Wilson,,,,7.0,,,,,,1.0,,,,,,,32.0,,18.0,56.3,107.3
vs Div,,177,5.2,2.0,21,1.0,1.0,1.0,0.0,1.0,,,Russell Wilson,,,,2.0,,,,,,0.0,,,,,,,34.0,,27.0,79.4,108.0
vs AFC,6.0,50,4.5,0.0,12,11.0,52.0,8.7,0.0,20.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
vs NFC,3.0,4,4.0,0.0,4,1.0,20.0,6.7,0.0,9.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
vs Div,4.0,41,5.1,0.0,12,8.0,37.0,9.3,0.0,20.0,0.0,0.0,Samaje Perine,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Thomas Incoom,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,37.0,511,13.8,3.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs NFC,16.0,223,13.9,2.0,44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs Div,14.0,190,13.6,1.0,31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Tim Patrick,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Tremon Smith,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs AFC,1.0,0,0.0,0.0,0,1.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
vs Div,1.0,0,0.0,0.0,0,1.0,24.0,24.0,1.0,24.0,0.0,0.0,Tyler Badie,,,,,,,,,,,,,,,,,,,,,
vs AFC,,0,0.0,0.0,0,,,,,,,,Zach Allen,5.0,2.0,3.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs NFC,,0,0.0,0.0,0,,,,,,,,Zach Allen,2.0,0.0,2.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
vs Div,,0,0.0,0.0,0,,,,,,,,Zach Allen,5.0,2.0,3.0,0.0,1.5,3.0,0.0,0.0,0.0,0.0,0.0,,,,,,,,,,
